ID,Phylum,Class,Family,Genus,species nov.,Strain,Clonal,Axenic,PCR,Principle Investigator
MMETSP0004,Ochrophyta,Synurophyceae,Ochromonadaceae,Ochromonas,sp.,CCMP1393,Unknown,No,No,David Caron
MMETSP0005,Ochrophyta,Synurophyceae,Ochromonadaceae,Ochromonas,sp.,CCMP1393,Unknown,No,No,David Caron
MMETSP0006,Haptophyta,Prymnesiophyceae,Prymenesiaceae,Prymnesium,parvum,Texoma1,Yes,Yes,No,David Caron
MMETSP0007,Haptophyta,Prymnesiophyceae,Prymenesiaceae,Prymnesium,parvum,Texoma1,Yes,Yes,No,David Caron
MMETSP0008,Haptophyta,Prymnesiophyceae,Prymenesiaceae,Prymnesium,parvum,Texoma1,Yes,Yes,No,David Caron
MMETSP0009,Bacillariophyta,Bacillariophyceae,Striatellaceae,Grammatophora,oceanica,CCMP 410,Unknown,No,No,E. Virginia Armbrust
MMETSP0010,Bacillariophyta,Coscinodiscophyceae,Corethraceae,Corethron,hystrix,,Unknown,No,No,E. Virginia Armbrust
MMETSP0011,Rhodophyta,Rhodellophyceae,Stylonemataceae,Rhodosorus,marinus,CCMP 769,Unknown,No,No,E. Virginia Armbrust
MMETSP0013,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Skeletonema,costatum,RA080513-05,Unknown,No,No,E. Virginia Armbrust
MMETSP0014,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Nitzschia,sp.,RCC80,Unknown,No,No,E. Virginia Armbrust
MMETSP0015,Bacillariophyta,Coscinodiscophyceae,Triceratiaceae,Odontella,aurita,isolate 1302-5,Unknown,No,No,E. Virginia Armbrust
MMETSP0017,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Cylindrotheca,closterium,KMMCC:B-181,Unknown,No,No,E. Virginia Armbrust
MMETSP0018,Ciliophora,Oligohymenophorea,Uronematidae,Uronema,sp.,Bbcil,Yes,No,No,David Caron
MMETSP0019,Ochrophyta,Synurophyceae,Dinobryaceae,Dinobryon,sp.,UTEXLB2267,Unknown,No,No,David Caron
MMETSP0020,Ochrophyta,Synurophyceae,Dinobryaceae,Dinobryon,sp.,UTEXLB2267,Unknown,No,No,David Caron
